0, 1kb,3.3513642847537994e-05
0, 1kb,2.0631588995456696e-05
0, 1kb,2.0732171833515167e-05
0, 1kb,2.0112842321395874e-05
0, 1kb,2.047419548034668e-05
0, 1kb,2.023950219154358e-05
0, 1kb,2.0658597350120544e-05
0, 1kb,2.043880522251129e-05
0, 1kb,2.0512379705905914e-05
0, 1kb,2.0296312868595123e-05
0, 10kb,6.295833736658096e-05
0, 10kb,5.676131695508957e-05
0, 10kb,5.2197836339473724e-05
0, 10kb,5.215313285589218e-05
0, 10kb,5.205720663070679e-05
0, 10kb,5.2209943532943726e-05
0, 10kb,5.2303075790405273e-05
0, 10kb,5.233194679021835e-05
0, 10kb,5.389656871557236e-05
0, 10kb,5.2745454013347626e-05
0, 100kb,0.00048006419092416763
0, 100kb,0.0003672391176223755
0, 100kb,0.00038137659430503845
0, 100kb,0.00037361402064561844
0, 100kb,0.00039142556488513947
0, 100kb,0.0003806333988904953
0, 100kb,0.00037150923162698746
0, 100kb,0.00038195401430130005
0, 100kb,0.0003717411309480667
0, 100kb,0.00037205126136541367
